"level","stem"
"A1","doktor"
"B1","doktorin"
"B1","dokument"
"B1","dollar"
"A1","dom"
"B1","donau"
"B1","donn"
"B1","donnerstag"
"B1","donnert"
"B1","doppel"
"B1","doppelbett"
"B1","doppelklick"
"B1","doppelt"
"A1","doppelzimm"
"B1","dopular"
"A1","dorf"
"A1","dort"
"A2","dorth"
"A2","dorthin"
"B1","dortmund"
"B1","dos"
"B1","dositiv"
"B1","dpark"
"B1","dparki"
"B1","dparkiert"
"A2","dra"
"B1","dran"
"A1","drauss"
"B1","dreck"
"B1","dreh"
"B1","dreht"
"A1","drei"
"B1","dreijahr"
"B1","dreimal"
"A1","dreissig"
"A2","dreiundzwanz"
"B1","dreizimmerwohn"
"A2","dresd"
"B1","drin"
"A2","dringend"
"A2","drinn"
"A2","dritt"
"B1","drog"
"B1","drogeri"
"A2","drub"
"B1","druck"
"B1","druckt"
"A2","dser"
"A2","duc"
"A2","duchstablert"
"A2","duk"
"A2","dumm"
"B1","dung"
"A2","dunk"
"A2","dunkel"
"B1","dunkelblau"
"B1","dunkeln"
"B1","dunkl"
"A2","dunn"
"A1","durch"
"B1","durcheinand"
"A1","durchsag"
"B1","durchschnitt"
"A1","durf"
"B1","durft"
"A1","durst"
"B1","durstig"
"A2","dus"
"A1","dusch"
"B1","duscht"
"B1","duu"
"B1","duz"
"B1","duziert"
"B1","duzt"
"A2","eaieel"
"A2","eajrggerg"
"A2","eanrr"
"A2","eba"
"B1","eben"
"B1","ebenfall"
"B1","ebenso"
"A2","ebor"
"A2","eburtstag"
"A2","echt"
"B1","eck"
"B1","eckig"
"B1","eden"
"A2","eeitt"
"A2","een"
"A2","eencpt"
"A2","éetrsteht"
"A2","egal"
"A2","eglaubt"
"A2","egrund"
"A2","egt"
"A1","ehe"
"A2","ehefrau"
"A2","ehemann"
"A2","ehen"
"B1","ehepaar"
"A2","ehepartn"
"B1","eher"
"A2","ehor"
"A2","ehort"
"B1","ehrlich"
"A2","ehtan"
"A2","eib"
"A2","eichy"
"B1","eig"
"A2","eigent"
"B1","eign"
"B1","eignet"
"B1","eil"
"A1","eilig"
"B1","eilt"
"A1","ein"
"B1","einatm"
"B1","einbahnstrass"
"B1","einbrech"
"B1","einbrecherin"
"B1","einbruch"
"B1","eindeut"
"B1","eindruck"
"B1","einerseit"
"A1","einfach"
"B1","einfahrt"
"B1","einfall"
"B1","einfluss"
"B1","einfug"
"B1","einfuhr"
"A1","eingang"
"B1","eing"
"B1","eingebroch"
"B1","eingefall"
"B1","eingefugt"
"B1","eingefuhrt"
"B1","eingekauft"
"B1","eingelad"
"B1","eingenomm"
"B1","eingepackt"
"B1","eingerichtet"
"B1","eingeschaltet"
"B1","eingeschlaf"
"B1","eingeschloss"
"B1","eingesetzt"
"B1","eingestellt"
"B1","eingestieg"
"B1","eingetrag"
"B1","eingetret"
"B1","eingezahlt"
"A2","eingezob"
"B1","eingezog"
"B1","einheit"
"A2","einhundert"
"B1","einig"
"B1","einigt"
"B1","einkauf"
"B1","einkaufslist"
"B1","einkaufszentrum"
"B1","einkomm"
"A1","einlad"
"A1","einmal"
"B1","einnahm"
"B1","einnehm"
"A2","einpack"
"B1","einpark"
"B1","einricht"
"B1","einsam"
"B1","einschalt"
"B1","einschaltet"
"B1","einschliess"
"B1","einschreib"
"B1","einsetz"
"A2","einsteig"
"A2","einstein"
"B1","einstell"
"A2","eintrag"
"B1","eintret"
"A1","eintritt"
"B1","eintrittskart"
"A2","einverstand"
"B1","einwohn"
"B1","einwohnerin"
"B1","einzahl"
"B1","einzel"
"B1","einzelkind"
"B1","einzeln"
"A1","einzelzimm"
"A2","einzieh"
"B1","einzig"
"A2","eis"
"B1","eisenbahn"
"A2","eiwiii"
"A2","elamat"
"A2","elch"
"A2","ele"
"B1","elegant"
"B1","elektr"
"B1","elektro"
"B1","elektrogerat"
"B1","elektrogeschaft"
"B1","elektroherd"
"B1","elektroingenieur"
"B1","elektron"
"B1","elf"
"A2","eln"
"A1","elt"
"B1","elternvertret"
"A2","eltlfabrl"
"A1","eltvill"
"A2","emburo"
"A2","eme"
"A2","emen"
"B1","emil"
"B1","emilia"
"B1","empfahl"
"B1","empfang"
"B1","empfangt"
"A1","empfehl"
"B1","empfiehlt"
"B1","empfing"
"B1","empfohl"
"A2","emverstand"
"A1","end"
"A2","endet"
"B1","endgult"
"A2","endlich"
"B1","endspiel"
"A2","ener"
"B1","energi"
"A2","eng"
"B1","england"
"A2","englisch"
"B1","englischkur"
"B1","enkel"
"B1","enkelin"
"A2","enn"
"A2","enntmss"
"B1","ens"
"B1","ent"
"B1","entdeck"
"B1","entdeckt"
"B1","entfern"
"B1","entfernt"
"B1","entgeg"
"B1","entgegengekomm"
"B1","entgegenkomm"
"B1","enthalt"
"B1","entlang"
"B1","entlass"
"B1","entlasst"
"B1","entliess"
"B1","entscheid"
"B1","entscheidet"
"B1","entschied"
"B1","entschliess"
"B1","entschliesst"
"B1","entschloss"
"B1","entschluss"
"A2","entschuldi"
"A1","entschuld"
"A2","entschuldigt"
"B1","entsorg"
"B1","entsorgt"
"B1","entspann"
"B1","entstand"
"B1","entsteh"
"B1","entsteht"
"B1","enttausch"
"B1","enttauscht"
"B1","entwed"
"B1","entwickeln"
"B1","entwickelt"
"B1","entwickl"
"B1","enzo"
"A2","eper"
"A2","erbzum"
"B1","erdapfel"
"B1","erdbeergeschmack"
"B1","erd"
"A2","erdgeschoss"
"B1","ereign"
"B1","ereignet"
"B1","ereignis"
"A2","eren"
"B1","erfahr"
"B1","erfahrt"
"B1","erfand"
"B1","erfind"
"B1","erfindet"
"B1","erfolg"
"B1","erfolgreich"
"B1","erford"
"B1","erfordert"
"B1","erfuhr"
"B1","erfull"
"B1","erfullt"
"B1","erfund"
"B1","erganz"
"B1","erganzt"
"A1","ergebnis"
"B1","ergeschoss"
